sudo: kan computernaam hp-smart-printing niet herleiden: Tijdelijk probleem in naamsherleiding
Bastion (Rust) initializing...
Listening on NFQUEUE 1. Triggers valid if traffic is outbound.
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 49400 -> 43765 | 60 bytes
[RUST] Packet: 192.168.1.35 -> 13.227.219.26 | TCP 38954 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47512 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47512 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46567 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46567 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47781 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47781 -> 53 | 73 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 46666 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 52992 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 52946 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43605 -> 53 | 74 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 43765 -> 37818 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 49414 -> 43765 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 49426 -> 43765 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 49432 -> 43765 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 49438 -> 43765 | 60 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 49567 -> 53 | 70 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 38704 -> 53 | 72 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 55074 -> 53 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 14028 -> 53 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 55122 -> 53 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 12565 -> 53 | 60 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 35595 -> 53 | 71 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 108.177.96.95 | TCP 33828 -> 443 | 76 bytes
[RUST] Packet: 192.168.1.35 -> 162.125.65.19 | TCP 38760 -> 443 | 1098 bytes
[RUST] Packet: 192.168.1.35 -> 9.9.9.9 | UDP 60300 -> 53 | 71 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 162.125.65.19 | TCP 38760 -> 443 | 747 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 57421 -> 53 | 76 bytes
[RUST] Packet: 192.168.1.35 -> 142.250.153.95 | TCP 52622 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 108.177.96.95 | TCP 33828 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 74.125.143.95 | TCP 45948 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 53293 -> 53 | 70 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 54821 -> 53 | 72 bytes
[RUST] Packet: 192.168.1.35 -> 172.217.218.95 | TCP 40432 -> 443 | 64 bytes
[RUST] Packet: 192.168.1.35 -> 192.168.1.34 | TCP 43296 -> 8009 | 60 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 39319 -> 53 | 74 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 39319 -> 53 | 74 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 39819 -> 53 | 74 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 50989 -> 53 | 76 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 36887 -> 53 | 79 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 55110 -> 53 | 70 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 51495 -> 53 | 72 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 35757 -> 53 | 71 bytes
[RUST] Packet: 192.168.1.35 -> 142.251.31.95 | TCP 39748 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.186 | TCP 60536 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.186 | TCP 60536 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 45089 -> 53 | 74 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43718 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43718 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46499 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 46499 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 52286 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 52286 -> 53 | 78 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.186 | TCP 60536 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 185.70.42.37 | TCP 45186 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 108.177.127.95 | TCP 43134 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 185.70.42.37 | TCP 49060 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 185.70.42.37 | TCP 33644 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 34641 -> 53 | 79 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 51730 -> 53 | 103 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 45539 -> 53 | 103 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.186 | TCP 60536 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.180 | TCP 46798 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 185.125.188.36 | TCP 32838 -> 443 | 60 bytes
[RUST] Packet: 192.168.1.35 -> 185.125.188.36 | TCP 44626 -> 443 | 40 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 39280 -> 53 | 75 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 51515 -> 53 | 77 bytes
[RUST] Packet: 192.168.1.35 -> 185.70.42.37 | TCP 45170 -> 443 | 1064 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 32541 -> 53 | 103 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47966 -> 53 | 103 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 48276 -> 53 | 82 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 48276 -> 53 | 82 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 35595 -> 53 | 71 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.185 | TCP 54836 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 213.174.149.186 | TCP 60536 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 192.243.60.97 | TCP 53680 -> 443 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 35444 -> 53 | 74 bytes
[RUST] Packet: 192.168.1.35 -> 13.89.179.8 | TCP 44744 -> 443 | 165 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 37818 -> 43765 | 799 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 35218 -> 43649 | 36377 bytes
[RUST] Packet: 192.168.1.35 -> 173.194.69.95 | TCP 55632 -> 443 | 52 bytes
[RUST] Packet: 192.168.1.35 -> 44.240.131.25 | TCP 37324 -> 443 | 40 bytes
[RUST] Packet: 192.168.1.35 -> 8.8.8.8 | UDP 51493 -> 53 | 71 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 43765 -> 35552 | 581 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 52984 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 54638 -> 42065 | 248 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 47638 -> 53 | 71 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 53763 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43409 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 1501 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 52003 -> 53 | 78 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 38144 -> 53 | 89 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 44016 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.1 | TCP 44028 -> 43649 | 52 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 40600 -> 53 | 114 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 52862 -> 53 | 75 bytes
[RUST] Packet: 127.0.0.1 -> 127.0.0.53 | UDP 43532 -> 53 | 77 bytes
